show_id;type;title;release_year;duration;description
s99;TV Show;Octonauts: Above & Beyond;2021;1 Season;"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
s100;TV Show;On the Verge;2021;1 Season;"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
s101;TV Show;Tobot Galaxy Detectives;2019;2 Seasons;"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
s102;Movie;Untold: Breaking Point;2021;80 min;"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
s103;TV Show;Countdown: Inspiration4 Mission to Space;2021;1 Season;"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
s104;Movie;Shadow Parties;2020;117 min;A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
s105;TV Show;Tayo the Little Bus;2016;2 Seasons;"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
s106;Movie;Angamaly Diaries;2017;128 min;"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s107;TV Show;Bunk'd;2021;5 Seasons;"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
s108;Movie;A Champion Heart;2018;90 min;"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s109;TV Show;Dive Club;2021;1 Season;"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
s110;TV Show;La casa de papel;2021;5 Seasons;Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
s111;TV Show;Money Heist: From Tokyo to Berlin;2021;1 Season;The filmmakers and actors behind "Money Heist" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.
s112;TV Show;Sharkdog;2021;1 Season;"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
s113;Movie;Worth;2021;119 min;"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
s114;Movie;Afterlife of the Party;2021;110 min;Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
s115;Movie;Anjaam;1994;143 min;"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
s116;Movie;Bright Star;2009;119 min;This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
s117;Movie;Dhanak;2015;114 min;A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
s118;Movie;Final Account;2021;94 min;This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
s119;Movie;Gurgaon;2017;106 min;"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s120;Movie;Here and There;2020;99 min;"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
s121;TV Show;Heroes of Goo Jit Zu;2021;1 Season;"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
s122;TV Show;Hotel Del Luna;2019;1 Season;"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
s123;Movie;In the Cut;2003;118 min;"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
s124;TV Show;Luv Kushh;2012;1 Season;"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood."
s125;TV Show;Pororo - The Little Penguin;2013;3 Seasons;"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
s126;TV Show;Q-Force;2021;1 Season;"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
s127;Movie;Shikara;2020;115 min;A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
s128;Movie;A Cinderella Story;2004;95 min;Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
s129;Movie;Agatha Christie's Crooked House;2017;115 min;"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
s130;Movie;An Unfinished Life;2005;108 min;"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
s131;Movie;Barbie Big City Big Dreams;2021;63 min;"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
s132;Movie;Blade Runner: The Final Cut;1982;117 min;"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
s133;TV Show;Brave Animated Series;2021;1 Season;A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
s134;Movie;Chappie;2015;121 min;"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
s135;Movie;Clear and Present Danger;1994;142 min;"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
s136;Movie;Cliffhanger;1993;113 min;"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
s137;Movie;Cold Mountain;2003;154 min;"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s138;Movie;Crocodile Dundee in Los Angeles;2001;95 min;"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
s139;Movie;Dear John;2010;108 min;"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
s140;Movie;Do the Right Thing;1989;120 min;"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
s141;Movie;"El patrón, radiografía de un crimen";2014;100 min;A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
s142;Movie;Extraction;2015;82 min;"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
s143;Movie;Freedom Writers;2007;124 min;"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
s144;Movie;Green Lantern;2011;114 min;Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
s145;Movie;House Party;1990;104 min;"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
s146;Movie;House Party 2;1991;94 min;"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
s147;Movie;House Party 3;1994;94 min;"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
s148;TV Show;How to Be a Cowboy;2021;1 Season;"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son."
s149;TV Show;HQ Barbers;2020;1 Season;"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business."
s150;Movie;I Got the Hook Up;1998;93 min;"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
s151;Movie;In Too Deep;1999;97 min;"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
s152;Movie;Initial D;2005;109 min;"By day, an 18-year-old delivers tofu for his father, a retired race car driver"
s153;Movie;Janoskians: Untold and Untrue;2016;88 min;Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
s154;TV Show;Kid-E-Cats;2016;2 Seasons;"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
s155;TV Show;Kuroko's Basketball;2015;3 Seasons;"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
s156;Movie;Labyrinth;1986;101 min;"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
s157;Movie;Letters to Juliet;2010;105 min;"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
s158;Movie;Level 16;2018;102 min;"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
s159;Movie;Love Don't Cost a Thing;2003;101 min;A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
s160;Movie;Love in a Puff;2010;103 min;"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
s161;TV Show;Major Dad;1992;4 Seasons;"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command."
s162;Movie;Mars Attacks!;1996;106 min;"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
s163;Movie;Marshall;2017;118 min;"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
s164;Movie;My Boss's Daughter;2003;86 min;"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
s165;Movie;Mystery Men;1999;121 min;A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
s166;TV Show;Oldsters;2019;1 Season;Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
s167;Movie;Once Upon a Time in America;1984;229 min;Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
s168;Movie;Open Season 2;2008;76 min;Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
s169;Movie;Osmosis Jones;2001;95 min;Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
s170;Movie;Poseidon;2006;98 min;"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
s171;Movie;Rhyme & Reason;1997;89 min;"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
s172;Movie;Same Kind of Different as Me;2017;120 min;A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
s173;Movie;School of Rock;2003;110 min;"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
s174;Movie;Snervous Tyler Oakley;2015;83 min;The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international "Slumber Party" tour.
s175;Movie;Tears of the Sun;2003;121 min;"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
s176;Movie;The Blue Lagoon;1980;105 min;"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
s177;Movie;The Golden Child;1986;94 min;A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
s178;Movie;The Guns of Navarone;1961;156 min;"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
s179;Movie;The Interview;2014;112 min;Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
s180;Movie;The Nutty Professor;1996;95 min;"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
s181;Movie;The Nutty Professor II: The Klumps;2000;107 min;"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation."
s182;TV Show;Turning Point: 9/11 and the War on Terror;2021;1 Season;"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad."
s183;Movie;Welcome Home Roscoe Jenkins;2008;114 min;"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
s184;Movie;In the Line of Fire;1993;129 min;A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
s185;TV Show;Sparking Joy;2021;1 Season;"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world."
s186;Movie;Untold: Crime & Penalties;2021;86 min;"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
s187;TV Show;Hometown Cha-Cha-Cha;2021;1 Season;"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
s188;TV Show;The Ingenuity of the Househusband;2021;1 Season;A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
s189;Movie;2 Alone in Paris;2008;97 min;"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
s190;TV Show;Bread Barbershop;2020;2 Seasons;"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood."
s191;Movie;Thimmarusu;2021;125 min;"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
s192;Movie;Wind River;2017;107 min;A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
s193;Movie;C Kkompany;2008;127 min;"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
s194;TV Show;D.P.;2021;1 Season;A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
s195;TV Show;Deadly Sins;2002;1 Season;A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
s196;Movie;EMI: Liya Hai To Chukana Padega;2008;128 min;A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
s197;Movie;He's All That;2021;92 min;An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic "She's All That."
s198;TV Show;I Heart Arlo;2021;1 Season;It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
s199;TV Show;King of Boys: The Return of the King;2021;1 Season;"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
